t_us,volt
34090.0,0.4955916
34092.0,0.4528908
34094.0,0.4150238
34096.0,0.3811353
34098.0,0.3481025
34099.99,0.3199038
34102.02,0.2933164
34104.0,0.2667292
34106.0,0.24255884
34108.0,0.2264454
34110.0,0.20872048
34112.02,0.19175096
34114.0,0.1748318
34116.0,0.1611353
34117.99,0.1490501
34120.02,0.13615924
34122.0,0.1248798
34124.0,0.1152117
34126.0,0.10715492
34128.0,0.0974868
34130.02,0.09023572
34132.0,0.082179
34134.0,0.0773449
34135.99,0.07251084
34138.02,0.0644541
34140.0,0.0604257
34142.0,0.05639736
34144.0,0.04995193
34146.0,0.04914626
34148.02,0.04511786
34150.0,0.04270084
34152.0,0.03867246
34153.99,0.03786679
34156.0,0.03142138
34158.0,0.03142138
34160.02,0.02981002
34162.0,0.029004348
34164.0,0.02658732
34166.02,0.02417028
34168.0,0.023364616
34170.0,0.02094758
34172.0,0.24900424
34174.0,0.5125108
34176.0,0.756681
34178.02,0.975875
34180.0,1.1781504
34182.0,1.3635064
34184.02,1.5287204
34186.0,1.681043
34188.0,1.822037
34190.0,1.947772
34192.0,2.066257
34194.0,2.173413
34196.02,2.268482
34198.0,2.357156
34200.0,2.437724
34202.02,2.509479
34204.0,2.583602
34206.0,2.643222
34208.0,2.698863
34210.0,2.7512324
34212.0,2.798768
34214.02,2.840663
34216.0,2.879336
34218.0,2.90839
34220.0,2.950285
34222.0,2.980095
34224.0,3.007489
34226.0,3.034075
34228.0,3.057441
34230.0,3.077583
34232.02,3.093696
34234.0,3.113888
34236.0,3.131612
34238.0,3.146116
34240.0,3.1590052
34242.0,3.1710908
34244.0,3.180759
34246.0,3.192039
34248.0,3.202513
34250.02,3.21057
34252.0,3.220237
34254.0,3.227488
34256.0,3.233934
34258.0,3.240379
34260.0,3.246826
34262.0,3.250854
34264.0,3.254076
34265.99,3.259715
34268.02,3.263744
34270.0,3.267772
34272.0,3.272606
34274.0,3.274218
34276.0,3.275024
34278.0,3.274218
34280.0,3.280663
34282.0,3.283885
34283.99,3.285497
34286.02,3.287914
34288.0,3.289525
34290.0,3.291942
34292.0,3.290331
34294.0,3.189621
34296.0,2.912419
34298.0,2.657725
34300.0,2.428057
34301.99,2.2217532
34304.02,2.026729
34306.0,1.8526524
34308.0,1.693128
34310.0,1.548862
34312.0,1.4158756
34314.02,1.2958296
34316.0,1.1837904
34318.0,1.083081
34319.99,0.989572
34322.02,0.9065874
34324.0,0.8316592
34326.0,0.7599038
34328.0,0.6954496
34330.0,0.6374408
34332.02,0.5834104
34334.0,0.5350696
34336.0,0.4907576
34337.99,0.4464453
34340.02,0.4109452
34342.0,0.3763011
34344.02,0.344074
34346.0,0.3174868
34348.0,0.2876767
34350.02,0.2667292
34352.0,0.24336452
34354.0,0.22322264
34355.99,0.201419
34358.0,0.1893339
34360.0,0.1724147
34362.02,0.16032952
34364.0,0.1458274
34366.0,0.13535364
34368.02,0.1224628
34370.0,0.11440604
34372.0,0.1047379
34374.0,0.0974868
34376.0,0.09023572
34378.0,0.0813733
34380.02,0.07573358
34382.0,0.0708995
34384.0,0.0636484
34386.02,0.0604257
34388.0,0.05559165
34390.0,0.05236894
34392.0,0.0475349
34394.0,0.04270084
34396.0,0.04189516
34398.02,0.03625542
34400.0,0.03625542
34402.0,0.03464409
34404.02,0.03383841
34406.0,0.024975968
34408.0,0.02819868
34410.0,0.025781632
34412.0,0.024975968
34414.0,0.02255893
34416.02,0.02255893
34418.0,0.2804257
34420.0,0.5471548
34422.0,0.784074
34424.0,1.0032684
34426.0,1.199098
34428.0,1.37962
34430.0,1.5480564
34432.0,1.7003796
34434.02,1.838956
34436.0,1.9638864
34438.0,2.079954
34440.0,2.184692
34442.0,2.279811
34444.0,2.366825
34446.0,2.447393
34448.0,2.522371
34450.0,2.589242
34452.02,2.651279
34454.0,2.703698
34456.0,2.756067
34458.0,2.802797
34460.0,2.8454976
34462.0,2.882558
34464.0,2.918058
34466.0,2.953508
34467.99,2.983318
34470.02,3.010711
34472.0,3.034881
34474.0,3.059858
34476.0,3.079999
34478.0,3.09858
34480.0,3.116305
34482.0,3.132418
34484.0,3.146116
34485.99,3.161423
34488.02,3.1710908
34490.0,3.183981
34492.0,3.195261
34494.0,3.208958
34496.0,3.213792
34498.0,3.221043
34500.0,3.227488
34502.0,3.233934
34503.99,3.240379
34506.02,3.246826
34508.0,3.250854
34510.0,3.256493
34512.0,3.258911
34514.0,3.262939
34516.02,3.266161
34518.0,3.265355
34520.0,3.273412
34521.99,3.275829
34524.02,3.279857
34526.0,3.282275
34528.0,3.284691
34530.0,3.28308
34532.0,3.287109
34534.02,3.28872
34536.0,3.290331
34538.0,3.29436
34539.99,3.158201
34542.02,2.8809468
34544.0,2.630331
34546.02,2.405497
34548.0,2.196777
34550.0,2.006587
34552.02,1.8349276
34554.0,1.6770144
34556.0,1.532749
34558.0,1.402179
34560.0,1.283744
34562.0,1.1725104
34564.02,1.0709956
34566.0,0.9807094
34568.0,0.89853
34570.02,0.8235522
34572.0,0.7526528
34574.0,0.689004
34576.0,0.6309956
34578.0,0.5785762
34580.0,0.5286244
34582.02,0.484312
34584.0,0.4432226
34586.0,0.4053056
34588.02,0.3698557
34590.0,0.3416571
34592.0,0.3134584
34594.0,0.2860654
34596.0,0.2643122
34598.0,0.2409475
34600.02,0.2216113
34602.0,0.2054474
34604.0,0.1844998
34606.0,0.1756374
34608.0,0.1587182
34610.0,0.1458274
34612.0,0.13293656
34614.0,0.12407414
34616.0,0.11360036
34618.02,0.1039322
34620.0,0.09587548
34622.0,0.09023572
34624.0,0.082179
34626.0,0.07412224
34628.0,0.06767682
34630.0,0.06525976
34632.0,0.05962004
34634.0,0.05317464
34636.02,0.04834056
34638.0,0.04592355
34640.0,0.0443122
34642.0,0.0410895
34644.0,0.03706112
34646.0,0.03383841
34648.0,0.03383841
34650.0,0.0306157
34652.0,0.02981002
34654.02,0.02739299
34656.0,0.02819868
34658.0,0.023364616
34660.0,0.02255893
34662.0,0.00805676
34664.0,0.314264
34666.0,0.5729364
34668.0,0.8066328
34669.99,1.025827
34672.02,1.223268
34674.0,1.4054016
34676.0,1.5665868
34678.0,1.716493
34680.0,1.853458
34682.0,1.9759716
34684.0,2.092844
34686.0,2.196777
34687.99,2.292702
34690.02,2.37891
34692.0,2.457866
