t_us,volt
28472.0,0.03544975
28474.0,0.02819868
28476.01,0.03142138
28478.0,0.02819868
28480.0,0.02658732
28482.01,0.2264454
28484.0,0.4802837
28486.01,0.7107576
28488.01,0.9227008
28490.01,1.116919
28492.0,1.289384
28494.0,1.461043
28496.0,1.610899
28498.0,1.750332
28500.01,1.876067
28502.0,1.9920848
28504.01,2.099289
28506.01,2.196777
28508.0,2.28384
28510.0,2.369242
28512.0,2.444975
28514.01,2.514313
28516.0,2.577962
28518.01,2.637583
28520.0,2.690002
28522.01,2.738343
28524.01,2.786683
28526.0,2.829383
28528.0,2.866445
28530.0,2.9019448
28532.01,2.934172
28534.0,2.963982
28536.01,2.989764
28538.01,3.017157
28540.0,3.039716
28542.01,3.062274
28544.01,3.082416
28546.0,3.099386
28548.0,3.115499
28550.01,3.13403
28552.0,3.144504
28554.0,3.158201
28556.01,3.16948
28558.0,3.179147
28560.01,3.190427
28562.01,3.200096
28564.0,3.208152
28566.0,3.218626
28568.01,3.221849
28570.0,3.2299052
28572.0,3.237156
28574.01,3.242797
28576.0,3.244408
28578.01,3.251659
28580.01,3.254076
28582.0,3.258911
28584.0,3.262939
28586.0,3.266161
28588.0,3.27019
28590.0,3.274218
28592.01,3.275829
28594.0,3.278246
28596.01,3.279052
28598.01,3.28308
28600.01,3.284691
28602.0,3.285497
28604.0,3.207346
28606.01,2.943035
28608.0,2.701281
28610.01,2.477252
28612.0,2.277395
28614.01,2.092844
28616.01,1.921991
28618.0,1.7656396
28620.0,1.6213732
28622.0,1.4900476
28624.01,1.3699516
28626.0,1.2611852
28628.01,1.157203
28630.01,1.062939
28632.0,0.9790982
28634.01,0.900142
28636.0,0.8284364
28638.0,0.7607096
28640.0,0.704312
28642.01,0.6430808
28644.0,0.5922728
28646.01,0.5463492
28648.01,0.5012316
28650.0,0.4617532
28652.01,0.427109
28654.01,0.3916089
28656.0,0.3617989
28658.0,0.329572
28660.01,0.3062074
28662.0,0.2820371
28664.0,0.259478
28666.01,0.2409475
28668.0,0.22080568
28670.01,0.201419
28672.01,0.1901396
28674.0,0.17080332
28676.0,0.15952384
28678.0,0.14824448
28680.0,0.13857636
28682.0,0.1272968
28684.01,0.12004576
28686.0,0.10715492
28688.01,0.1007095
28690.01,0.0918471
28692.01,0.08620734
28694.0,0.07976194
28696.0,0.07412224
28698.0,0.06848246
28700.0,0.05720302
28702.01,0.05881435
28704.0,0.0539803
28706.01,0.0507576
28708.01,0.04834056
28710.0,0.04189516
28712.0,0.04189516
28714.0,0.03947813
28716.01,0.03706112
28718.0,0.03544975
28720.01,0.03303272
28722.0,0.0306157
28724.01,0.02417028
28726.01,0.02739299
28728.0,0.2562554
28730.0,0.5044542
28732.0,0.738956
28734.01,0.948482
28736.0,1.1427004
28738.01,1.3183888
28740.01,1.4803796
28742.0,1.6237904
28744.01,1.7656396
28746.01,1.890569
28748.0,2.005782
28750.0,2.112987
28752.01,2.209668
28754.0,2.297536
28756.0,2.379716
28758.01,2.453838
28760.0,2.522371
28762.01,2.585214
28764.01,2.644028
28766.0,2.6980584
28768.0,2.745593
28770.01,2.791518
28772.0,2.833413
28774.0,2.869667
28776.01,2.905973
28778.0,2.9382
28780.01,2.967204
28782.01,2.995404
28784.0,3.021185
28786.0,3.042133
28788.0,3.06308
28790.0,3.081611
28792.0,3.100997
28794.01,3.116305
28796.0,3.133224
28798.01,3.146921
28800.01,3.1590052
28802.0,3.1710908
28804.0,3.180759
28806.0,3.192039
28808.01,3.200096
28810.0,3.209764
28812.01,3.217015
28814.0,3.224265
28816.01,3.228294
28818.01,3.235545
28820.0,3.240379
28822.0,3.246826
28824.0,3.252465
28826.01,3.259715
28828.0,3.262133
28830.01,3.26455
28832.01,3.266967
28834.0,3.27019
28836.01,3.269384
28838.0,3.276635
28840.0,3.278246
28842.0,3.282275
28844.01,3.283885
28846.0,3.285497
28848.01,3.286303
28850.01,3.172702
28852.0,2.910807
28854.01,2.672226
28856.01,2.453032
28858.0,2.253174
28860.0,2.06948
28862.01,1.9010428
28864.0,1.749526
28866.0,1.6052596
28868.01,1.4739344
28870.0,1.3570608
28872.01,1.246683
28874.01,1.141089
28876.0,1.05327
28878.0,0.968624
28880.0,0.8904734
28882.0,0.8179124
28884.0,0.7510412
28886.01,0.6922268
28888.0,0.6366352
28890.01,0.5866328
28892.01,0.5407096
28894.01,0.4963972
28896.0,0.4585305
28898.0,0.4222749
28900.0,0.386775
28902.0,0.3561592
28904.01,0.329572
28906.0,0.302179
28908.01,0.277203
28910.01,0.257061
28912.0,0.23772484
28914.0,0.21758284
28916.0,0.201419
28918.01,0.1869169
28920.0,0.1756374
28922.01,0.1554955
28924.01,0.1426047
28926.0,0.13615924
28928.01,0.1248798
28930.0,0.11601738
28932.0,0.10715492
28934.0,0.1015152
28936.01,0.0918471
28938.0,0.08540166
28940.01,0.0813733
28942.01,0.07251084
28944.0,0.06767682
28946.01,0.0644541
28948.01,0.05800869
28950.0,0.05559165
28952.0,0.05156327
28954.01,0.05156327
28956.0,0.04511786
28958.0,0.0410895
28960.01,0.03625542
28962.0,0.03544975
28964.01,0.03383841
28966.01,0.03222704
28968.0,0.02981002
28970.0,0.029004348
28972.01,0.02658732
28974.0,0.2900938
28976.0,0.5382922
28978.01,0.7655436
28980.0,0.9742638
28982.01,1.1660652
28984.01,1.3377244
28986.01,1.49891
28988.0,1.6455432
28990.0,1.783364
28992.0,1.906683
28994.0,2.019478
28996.01,2.124266
28998.0,2.220142
29000.01,2.305593
29002.01,2.389384
29004.0,2.461894
29006.0,2.531233
29008.0,2.593271
29010.01,2.648862
29012.0,2.703698
29014.01,2.750428
29016.0,2.796351
29018.01,2.837441
29020.01,2.875307
29022.0,2.910807
29024.0,2.939812
29026.0,2.968816
29028.01,2.99782
29030.0,3.02199
29032.01,3.04455
29034.01,3.0671084
29036.0,3.086444
29038.01,3.10422
29040.01,3.118721
29042.0,3.13403
29044.0,3.146116
29046.01,3.1590052
29048.0,3.171896
29050.01,3.183175
29052.01,3.192845
29054.0,3.202513
29056.01,3.21057
29058.01,3.217015
29060.0,3.22346
29062.0,3.231516
29064.01,3.237962
29066.0,3.242797
29068.0,3.248436
29070.01,3.2532708
29072.0,3.257299
29074.01,3.259715
29076.01,3.262939
29078.0,3.266161
29080.0,3.2709952
29082.0,3.274218
29084.0,3.27744
29086.0,3.278246
29088.01,3.280663
29090.0,3.27744
29092.01,3.282275
29094.01,3.287914
29096.01,3.142087
29098.0,2.882558
29100.0,2.64564
29102.01,2.428862
29104.0,2.232227
29106.01,2.048482
29108.0,1.883318
29110.01,1.7293836
29112.01,1.58834
29114.0,1.461849
29116.0,1.3433644
29118.0,1.233742
29120.01,1.1338384
29122.0,1.041991
29124.01,0.9573448
29126.01,0.8767772
29128.0,0.8098556
29130.01,0.7454014
29132.0,0.68417
29134.0,0.6318012
29136.0,0.5826044
29138.01,0.5350696
29140.0,0.4915632
29142.01,0.4545022
29144.01,0.4174409
29146.0,0.3827466
29148.01,0.3537423
29150.01,0.3263492
29152.0,0.2989562
29154.0,0.2755915
29156.01,0.2538384
29158.0,0.23289076
29160.0,0.2167772
29162.01,0.1998077
29164.0,0.1869169
29166.01,0.17080332
29168.01,0.1579125
29170.0,0.14663308
29172.0,0.1345479
29174.01,0.1224628
29176.0,0.11601738
29178.0,0.10715492
29180.01,0.0942641
29182.0,0.0910414
29184.01,0.09023572
29186.01,0.07815058
29188.01,0.07251084
29190.0,0.06767682
29192.0,0.06284276
29194.0,0.05478598
29196.0,0.0539803
29198.01,0.0507576
